query_id,model,xml_sha,query,expected,verdict,wall_s,cpu_s,resident_mb,virtual_mb,states_stored,states_explored,witness_len,timeout_s,timestamp
tandem_2_c5__cost,tandem_2_c5,e223599952ac,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1))),SAT,SAT,0.068,0.010,21.465,66383.277,1085,1845,,600.0,2026-09-24T20:29:00
tandem_2_c5__zone,tandem_2_c5,e223599952ac,A[] true,SAT,SAT,0.067,0.007,20.660,66517.273,1085,1173,,600.0,2026-09-24T20:29:00
tandem_3__acc,tandem_3,7e67432f99c9,E<> (SU.wait && q3 == 2),SAT,SAT,0.071,0.003,20.691,66516.281,299,464,23,600.0,2026-09-24T20:29:00
tandem_3__cost,tandem_3,7e67432f99c9,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1))),SAT,SAT,0.974,0.909,33.027,66638.277,22316,166603,,600.0,2026-09-24T20:29:01
tandem_3__zone,tandem_3,7e67432f99c9,A[] true,SAT,SAT,0.555,0.499,32.246,66509.273,22316,124443,,600.0,2026-09-24T20:29:02
tandem_3_batch__nic,tandem_3_batch,1751d9a4a519,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),SAT,SAT,0.052,0.001,20.594,66242.281,150,184,,600.0,2026-09-24T20:29:02
tandem_3_batch__stall,tandem_3_batch,1751d9a4a519,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),UNSAT,UNSAT,0.051,0.001,20.512,66371.277,150,168,,600.0,2026-09-24T20:29:02
tandem_3_batch__term,tandem_3_batch,1751d9a4a519,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep == 3),SAT,SAT,0.059,0.002,19.973,66242.281,150,167,21,600.0,2026-09-24T20:29:02
tandem_3_batch__zone,tandem_3_batch,1751d9a4a519,A[] true,SAT,SAT,0.062,0.001,20.348,66370.273,150,168,,600.0,2026-09-24T20:29:02
tandem_3_batch_norestart__nic,tandem_3_batch_norestart,f200fd8d218f,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),UNSAT,UNSAT,0.053,0.001,21.098,66370.281,38,71,15,600.0,2026-09-24T20:29:02
tandem_3_batch_norestart__stall,tandem_3_batch_norestart,f200fd8d218f,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e10.idle && W_e11.idle && W_e12.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),SAT,SAT,0.053,0.001,20.008,66370.277,131,140,15,600.0,2026-09-24T20:29:02
tandem_3_batch_norestart__zone,tandem_3_batch_norestart,f200fd8d218f,A[] true,SAT,SAT,0.053,0.002,20.312,66370.273,162,176,,600.0,2026-09-24T20:29:02
